פירושונים רק בעברית
[[:הכנסייה האנגליקנית (פירושונים)]]	הכנסייה האנגליקנית (פירושונים)
[[:לואיס]]	לואיס
[[:מפרש (פירושונים)]]	מפרש (פירושונים)
[[:סוכה (פירושונים)]]	סוכה (פירושונים)
[[:דואר צבאי]]	דואר צבאי
[[:שרוך]]	שרוך
[[:קשקשים]]	קשקשים
[[:חול (פירושונים)]]	חול (פירושונים)
[[:סיכה (פירושונים)]]	סיכה (פירושונים)
[[:ספיקה (פירושונים)]]	ספיקה (פירושונים)
[[:סרגל (פירושונים)]]	סרגל (פירושונים)
[[:מרקר (פירושונים)]]	מרקר (פירושונים)
[[:עיט (פירושונים)]]	עיט (פירושונים)
[[:קולט (פירושונים)]]	קולט (פירושונים)
[[:שם המשחק]]	שם המשחק
[[:ארס (פירושונים)]]	ארס (פירושונים)
[[:רהב]]	רהב
[[:מסע (פירושונים)]]	מסע (פירושונים)
[[:שורק]]	שורק
[[:נחל שורק (פירושונים)]]	נחל שורק (פירושונים)
[[:דוב (פירושונים)]]	דוב (פירושונים)
[[:סלה]]	סלה
[[:סיכול]]	סיכול
[[:לאנס (פירושונים)]]	לאנס (פירושונים)
[[:ארבעת המינים (פירושונים)]]	ארבעת המינים (פירושונים)
[[:נוני (פירושונים)]]	נוני (פירושונים)
[[:ויליס]]	ויליס
[[:לי]]	לי
[[:קיבוץ (פירושונים)]]	קיבוץ (פירושונים)
[[:תריס (פירושונים)]]	תריס (פירושונים)
[[:שער העיר (פירושונים)]]	שער העיר (פירושונים)
[[:מונפלייה (פירושונים)]]	מונפלייה (פירושונים)
[[:קאלי (פירושונים)]]	קאלי (פירושונים)
[[:פחווה (פירושונים)]]	פחווה (פירושונים)
[[:יצחק כהן]]	יצחק כהן
[[:חלוצה (פירושונים)]]	חלוצה (פירושונים)
[[:קירשנר]]	קירשנר
[[:מטרה]]	מטרה
[[:צ'רני]]	צ'רני
[[:גרד]]	גרד
[[:ערב (פירושונים)]]	ערב (פירושונים)
[[:קנדה (פירושונים)]]	קנדה (פירושונים)
[[:שר (פירושונים)]]	שר (פירושונים)
[[:סבלה]]	סבלה
[[:לובץ' (פירושונים)]]	לובץ' (פירושונים)
[[:חוני]]	חוני
[[:החבר]]	החבר
[[:דש]]	דש
[[:טנה]]	טנה
[[:קונטרס]]	קונטרס
[[:צוללות (פירושונים)]]	צוללות (פירושונים)
[[:הרלינג (פירושונים)]]	הרלינג (פירושונים)
[[:אר (פירושונים)]]	אר (פירושונים)
[[:מ"א]]	מ"א
[[:כחלון]]	כחלון
[[:חיות (פירושונים)]]	חיות (פירושונים)
[[:מילן]]	מילן
[[:דבו]]	דבו
[[:תפר]]	תפר
[[:למפל]]	למפל
[[:נוריאל (פירושונים)]]	נוריאל (פירושונים)
[[:תכלית]]	תכלית
[[:צפיר (פירושונים)]]	צפיר (פירושונים)
[[:תמרה (פירושונים)]]	תמרה (פירושונים)
